student_id,name,age,quiz_score_1,quiz_score_2,quiz_score_3,assignment_score_1,assignment_score_2,math_engagement_time,science_engagement_time,history_engagement_time,login_frequency,content_completion_rate,learning_style
28,Ryan Padilla,26,79,76,84,90,95,13,81,36,6,60,auditory
29,Gregory Boyd,19,75,97,75,84,98,12,66,66,9,88,kinesthetic
30,John Flores,22,84,68,70,90,55,94,43,111,4,87,visual
31,Danielle Evans,21,58,79,63,60,63,111,42,60,2,53,kinesthetic
32,Justin Harris,28,99,64,53,66,93,39,115,118,7,53,auditory
33,Samantha Pham,18,51,62,82,89,75,23,118,64,8,66,auditory
34,Daniel Johnson,26,74,72,72,51,97,101,69,72,8,69,visual
35,Kayla Molina,18,84,51,62,60,95,31,76,119,1,75,auditory
36,Michael Byrd,29,74,63,95,69,87,79,107,85,7,57,visual
37,Joshua Underwood,27,83,80,78,96,93,34,94,49,5,77,kinesthetic
38,Karen Hahn,28,76,50,77,73,57,115,118,74,2,57,visual
39,Stephanie Martinez,27,63,94,88,60,77,63,99,89,1,96,kinesthetic
40,Andrea Brown,22,50,55,82,75,71,118,83,29,9,76,kinesthetic
41,Oscar Sanchez,28,52,56,80,91,98,48,25,116,7,67,kinesthetic
42,Francisco Wallace,23,60,67,93,89,62,65,91,75,2,50,auditory
43,Brandon Hill,24,81,66,59,53,64,60,108,13,3,68,auditory
44,Anthony Robles,26,62,91,76,94,63,12,29,69,2,81,auditory
45,Robin Barrett,21,54,75,66,74,94,102,89,96,3,66,auditory
46,Mrs. Lisa Medina DVM,22,96,53,59,68,53,81,94,22,1,98,visual
47,Emily Malone,20,72,84,91,57,64,63,95,25,9,82,kinesthetic
48,Veronica Prince,24,72,54,63,94,77,101,24,11,1,93,kinesthetic
49,William Orr Jr.,18,76,84,96,72,76,78,94,117,4,65,visual
50,Dwayne Novak,27,67,90,99,79,74,112,104,60,3,83,visual
51,Becky Cruz,27,94,60,68,64,65,10,52,79,4,51,kinesthetic
52,Christopher Cain,19,97,78,61,84,84,69,112,110,3,91,visual
53,James Thompson,29,78,76,91,83,98,107,15,75,4,53,kinesthetic
54,Chad Bennett,19,78,59,68,52,86,118,75,71,8,88,visual
55,Jack Mitchell,20,72,93,51,55,85,94,45,35,6,78,kinesthetic
56,David Barnett,27,52,98,55,98,61,100,55,41,2,51,kinesthetic
57,Teresa Thompson,29,98,77,61,55,57,112,79,97,3,54,auditory
58,April Mendoza,24,61,95,80,52,65,56,72,51,9,68,visual
59,Karen Adams,29,59,85,73,80,95,51,82,41,6,93,kinesthetic
60,Michelle Brown,19,77,71,62,98,62,64,53,66,4,50,auditory
61,Melissa Hayes,22,73,51,76,89,82,28,59,62,6,87,auditory
62,Teresa Carlson,25,56,66,64,78,69,33,85,102,3,94,visual
63,Kristin Chavez,18,65,99,50,56,87,77,84,49,4,61,visual
64,David Williams,28,68,77,50,63,68,63,94,105,8,88,auditory
65,Jeffrey Rodriguez,29,56,50,51,53,80,71,54,17,2,87,auditory
66,Erika Norman,22,96,90,74,73,54,51,61,102,3,51,visual
67,Sean Miller,22,94,73,99,63,57,57,14,52,2,53,auditory
68,Sheri Rodriguez,22,58,75,98,64,62,55,114,34,8,86,kinesthetic
69,Alfred Cox,29,52,74,93,54,75,93,28,85,1,98,visual
70,Allen Johnson,23,60,94,74,85,75,112,27,21,2,54,kinesthetic
71,Cassandra Foster DVM,27,80,88,77,90,51,119,86,80,7,97,auditory
72,Amber Lyons,24,93,91,96,88,62,59,70,26,7,62,kinesthetic
73,Dale Mccoy,25,92,68,99,81,53,71,102,96,3,53,visual
74,Patricia Wood,25,69,78,71,76,68,66,88,17,8,90,kinesthetic
75,Emily Peters,18,63,88,96,99,91,59,107,103,9,75,visual
76,Albert Ellis,21,95,73,62,79,92,77,95,95,9,99,visual
77,Brooke Mack,23,94,81,85,78,85,39,119,32,6,94,auditory
78,Steve Walters,28,62,86,95,56,56,100,17,117,1,52,auditory
79,Jennifer Mendoza,23,58,94,80,77,96,110,91,45,9,87,visual
80,Tracy Moore,22,97,99,73,54,69,65,116,54,1,71,auditory
81,Denise Walker,29,57,50,69,95,98,51,36,42,9,80,kinesthetic
82,Robin Stuart,18,96,86,90,90,66,29,14,98,4,69,visual
83,Samantha Mendoza,28,67,79,69,64,77,38,110,80,2,64,auditory
84,Alan Santos,18,54,62,76,56,64,90,117,95,7,80,kinesthetic
85,Karen Miller,24,73,69,63,74,86,77,108,51,8,86,auditory
86,Ricardo Dixon,19,75,66,52,99,64,112,40,36,1,71,auditory
87,Matthew Gibson,18,65,78,76,58,78,106,64,54,6,65,visual
88,Patrick Mendez,20,65,83,87,94,85,78,87,54,6,82,visual
89,Ronald Smith,20,96,68,68,92,87,42,26,61,3,78,auditory
90,John Gutierrez,28,99,78,74,72,95,44,117,65,1,76,auditory
91,James Berg,19,90,69,52,90,61,100,97,18,2,83,auditory
92,John Sanchez,27,75,64,61,58,97,77,23,27,2,95,auditory
93,Edward Morris,25,85,86,62,51,92,76,29,96,3,79,kinesthetic
94,Craig Medina,25,50,69,90,99,94,68,32,20,6,62,kinesthetic
95,Zachary Camacho,28,90,98,68,59,63,58,86,97,2,92,auditory
96,Joshua Ortiz Jr.,28,64,54,66,86,81,52,87,16,3,84,auditory
97,Jessica Collins,27,51,95,77,82,93,50,17,77,2,84,auditory
98,Kendra Collins,23,95,55,78,79,68,13,74,52,5,94,visual
99,Bruce Barber,22,55,85,59,83,54,88,30,95,5,99,auditory
100,Chelsea Morgan,22,92,51,94,57,89,18,109,18,7,50,visual
101,Jessica Sandoval,20,53,77,58,58,97,37,25,47,8,95,kinesthetic
102,Nicholas Wong,27,58,86,61,58,92,62,88,44,3,85,visual
103,Jonathan Page,28,91,72,60,53,92,76,119,77,8,85,auditory
104,Laura Roy,26,73,70,95,53,52,105,109,99,5,80,kinesthetic
105,Kelli Mcclain,21,51,78,92,73,73,111,92,46,1,98,kinesthetic
106,Donald Stark,27,81,78,81,79,84,107,17,83,3,81,auditory
107,Caleb Dennis,28,62,73,95,73,66,31,111,35,6,98,visual
108,Elaine Mccoy,24,51,60,99,75,99,22,101,16,5,65,auditory
109,Jamie Barr,21,76,81,81,96,85,96,48,97,6,73,visual
110,Taylor Johnson,20,98,70,93,55,86,83,31,29,3,76,kinesthetic
111,Justin Smith,19,84,87,88,55,86,86,107,47,4,59,visual
112,Melvin Norris,18,75,95,92,85,58,77,101,114,7,74,auditory
113,Brittney Scott,23,96,94,98,51,98,96,46,34,7,79,visual
114,Joshua Rodriguez,28,81,57,74,55,55,119,88,67,2,63,auditory
115,Thomas Estes,20,61,51,81,53,85,105,19,40,4,62,auditory
116,Charles Elliott,29,86,68,79,92,62,60,71,30,4,87,auditory
117,Ivan Carroll,23,75,78,84,86,81,12,39,19,7,87,kinesthetic
118,Todd Pratt,26,64,62,80,76,75,48,33,44,9,57,visual
119,Terry Anderson,23,78,86,58,62,51,109,28,97,2,78,kinesthetic
120,Anthony Jones,28,74,67,58,85,92,100,110,31,5,71,auditory
121,Amber Lee,28,58,58,86,93,94,99,60,114,3,67,kinesthetic
122,Brittany Bennett,19,86,95,67,58,91,33,54,79,9,71,kinesthetic
123,Vanessa Cook,20,90,79,68,98,63,21,87,43,9,63,kinesthetic
124,Jerry Villarreal,19,60,70,86,99,80,71,108,31,2,85,visual
125,Roy Cooley,26,90,94,87,70,99,57,90,12,3,71,visual
126,Katie Martinez,20,63,81,82,93,79,91,37,94,2,81,visual
127,Anthony Conway,22,66,60,94,77,92,36,92,57,6,81,auditory
128,Becky Miller,28,52,91,72,59,89,35,66,63,1,57,visual
129,David Johns,26,54,56,84,93,91,40,46,14,1,92,visual
130,Jonathan Kirk,22,91,84,81,80,69,102,69,21,6,87,visual
131,Rebecca Clark,22,90,78,76,50,91,35,64,84,5,73,auditory
132,Samantha Bauer,20,56,81,52,85,53,12,89,92,2,75,auditory
133,Roberto Carter,26,79,70,87,59,54,84,35,75,9,50,visual
134,Michael Terry,18,91,58,66,51,61,43,15,38,3,81,auditory
135,Miguel Taylor,25,92,87,60,55,99,24,51,33,2,50,kinesthetic
136,Paula Mason,28,95,88,52,80,95,25,61,103,4,70,visual
137,Sarah Jones,19,95,90,60,64,83,18,114,65,3,74,kinesthetic
138,Ronald Pitts,19,67,69,57,81,99,108,103,25,8,76,auditory
139,Morgan Harrison,25,97,81,55,81,87,46,11,45,1,85,kinesthetic
140,Fernando Gordon,24,91,55,61,97,60,108,61,50,1,63,auditory
141,Miguel Hardy,23,85,90,77,55,60,78,35,52,1,84,auditory
142,James Roberts,21,87,92,65,78,86,52,113,75,8,58,auditory
143,Paul Williams,26,80,84,97,96,58,83,90,61,8,84,auditory
144,Michael Carr,28,92,73,61,83,76,14,87,65,7,77,visual
145,Jessica Blair,22,90,92,55,64,82,102,79,59,6,74,kinesthetic
146,Carlos Bennett,19,54,95,83,87,77,33,27,109,2,53,auditory
147,John Barnes,26,50,59,61,88,87,52,81,97,3,78,kinesthetic
148,Douglas Reeves,19,53,59,92,62,84,36,76,100,1,77,auditory
149,Andrew Jimenez,28,64,86,55,82,92,21,20,107,8,93,auditory
150,Connor Oconnell,25,81,96,51,97,82,100,59,80,7,60,kinesthetic
151,Mark Jackson MD,23,92,80,65,89,75,65,16,91,7,55,kinesthetic
152,Joseph Anderson,26,77,71,92,56,97,21,31,17,1,95,visual
153,David Vega,26,98,80,56,75,97,113,91,45,4,81,kinesthetic
154,Beth Bryant,25,59,80,76,99,90,83,55,89,4,63,auditory
155,Kenneth Moran,26,58,85,75,87,87,102,62,84,8,58,auditory
156,Steven Holland,25,56,59,81,66,77,82,104,35,7,75,visual
157,Paul Salinas,18,91,51,77,90,80,103,72,77,7,60,auditory
158,Ronnie George DVM,18,93,57,93,65,63,92,62,36,9,77,auditory
159,Andrew Miller,18,73,98,77,71,59,48,79,80,8,85,auditory
160,Michelle Baldwin,20,87,63,72,58,74,51,102,87,5,73,auditory
161,Daniel Henderson,23,70,71,76,81,95,32,69,51,2,79,visual
162,Jerry Perez DDS,19,52,60,53,67,90,71,26,10,9,74,auditory
163,Robin Casey,28,79,85,65,95,71,65,96,102,3,56,visual
164,Isabel Morgan,29,69,87,89,55,81,73,68,52,1,98,visual
165,Christopher Anderson,21,88,92,77,79,58,101,42,114,5,67,visual
166,Danielle Stevens,28,62,55,86,87,56,101,24,119,9,57,kinesthetic
167,Andrew Smith,21,92,73,85,56,65,107,14,27,4,77,visual
168,Alexandra Smith,22,77,81,73,75,58,11,60,47,1,95,auditory
169,Mike Grant,24,81,86,74,54,60,100,92,112,8,96,visual
170,Marc Ashley,27,81,56,86,74,90,114,28,42,1,87,kinesthetic
171,Amber Ochoa,28,61,50,70,66,80,57,37,80,9,82,kinesthetic
172,Casey Williams,25,63,52,62,77,80,99,59,43,3,76,auditory
173,Sean Brock,21,55,62,74,81,77,32,95,43,6,67,auditory
174,Mrs. Jodi Hernandez MD,25,57,66,74,73,57,70,24,80,6,66,visual
175,Tara Mcdonald PhD,26,74,86,66,81,66,18,44,31,6,70,auditory
176,Mark Shepherd,19,71,51,67,53,57,24,116,35,9,79,auditory
177,Robert Salazar,22,96,89,70,98,92,52,95,79,1,90,auditory
178,Katelyn Cordova,19,59,59,58,54,68,72,16,18,2,75,kinesthetic
179,Ashley Rivera,27,94,77,83,73,94,93,62,106,3,76,visual
180,Suzanne Bryant,25,91,97,82,74,77,23,68,26,5,90,auditory
181,Melissa Perez,22,84,68,86,92,84,97,44,101,5,82,visual
182,Shawn Nunez,19,77,91,55,77,74,115,68,29,6,87,kinesthetic
183,Jeanette Nixon,26,59,55,83,88,73,30,97,24,8,65,kinesthetic
184,Francisco Thomas,24,91,53,63,69,80,113,29,57,5,95,visual
185,Sophia Marshall,25,98,72,69,80,53,85,16,17,3,75,auditory
186,Eric Cameron,26,67,72,84,95,56,95,118,93,6,55,kinesthetic
187,Heather Nunez,27,77,98,90,92,62,102,89,34,8,66,auditory
188,Amber Stevenson,18,78,76,63,89,61,18,112,87,8,86,visual
189,Kristina Garcia,21,54,76,65,96,95,117,40,11,7,75,visual
190,Stephanie Silva,18,78,50,91,71,59,24,24,53,1,60,auditory
191,Rebecca Mercer,24,65,53,60,63,95,76,55,44,6,81,kinesthetic
192,Christopher Wood,28,53,54,77,93,85,64,17,41,6,59,auditory
193,Gabrielle Mccoy,21,78,55,70,76,90,53,98,22,2,53,auditory
194,Amanda Young,23,92,57,64,80,63,107,114,62,2,83,auditory
195,Kristopher Hernandez,23,73,85,51,81,50,55,74,54,2,76,auditory
196,Ronald Hall,23,88,75,67,72,56,80,17,42,2,51,auditory
197,Lisa Zuniga,25,95,75,90,96,80,13,39,54,3,52,auditory
198,Amy Rodriguez,29,56,63,69,96,74,42,113,90,7,66,auditory
199,Cassandra Clayton,29,57,90,74,77,79,47,117,12,6,87,visual
200,Howard Pratt,22,75,89,72,61,84,34,115,15,2,59,auditory
201,William Rodriguez,28,66,73,56,64,76,105,98,55,1,88,auditory
202,Gary Villarreal,29,51,77,65,91,85,108,72,119,4,93,auditory
203,Jacqueline Suarez,27,67,90,78,66,65,54,98,119,8,53,auditory
204,Amy Hopkins,21,63,59,71,66,83,16,67,92,2,80,kinesthetic
205,William Ferguson,28,52,93,71,65,75,14,30,104,5,80,visual
206,Kurt Perez,28,76,52,87,94,74,32,29,75,2,98,kinesthetic
207,Virginia Phillips,19,62,52,55,92,92,47,115,37,3,55,kinesthetic
208,Matthew Thomas,22,87,62,81,95,93,87,100,64,6,90,kinesthetic
209,Thomas Cobb,18,77,58,77,66,55,84,18,55,2,88,auditory
210,Hannah Jefferson,19,74,95,95,77,75,17,117,36,5,58,kinesthetic
211,Rebecca Williams,26,72,91,51,75,62,76,10,110,9,87,kinesthetic
212,Adam Castro,21,88,71,87,58,86,91,67,79,7,68,auditory
213,Jason Gardner,21,56,84,89,72,86,67,12,20,2,78,kinesthetic
214,David Blevins,26,76,75,61,79,54,104,80,32,5,96,visual
215,John Duncan,26,83,58,95,86,86,44,115,55,5,53,kinesthetic
216,Michelle Henry,28,53,68,95,90,88,91,37,31,1,69,kinesthetic
217,Kelly Thompson,24,98,99,88,82,94,76,66,80,2,66,visual
218,Beth Ford,25,60,96,63,55,52,35,68,73,1,88,visual
219,Judy Conley,22,96,65,89,67,65,83,82,91,9,79,kinesthetic
220,Jessica Tate,28,93,58,70,88,79,118,10,114,7,91,visual
221,Justin Gonzalez,24,95,91,95,56,95,106,58,77,5,85,kinesthetic
222,Mary Hood,21,61,96,98,80,74,20,43,77,5,71,kinesthetic
223,Misty Harrington,22,83,81,85,87,71,36,10,62,2,57,visual
224,Julie Gomez,29,80,89,63,90,80,116,39,103,2,93,auditory
225,Mr. Aaron Malone,22,77,73,53,85,58,118,101,22,1,60,visual
226,Ronald Camacho,28,88,92,99,72,68,45,35,105,8,91,kinesthetic
227,Keith Cook,24,66,63,55,84,54,64,56,80,7,53,kinesthetic
228,Lauren Page,20,84,74,78,88,98,50,41,37,7,50,kinesthetic
229,Thomas Lawrence,20,55,59,52,91,61,30,24,59,2,77,visual
230,Jennifer Cain,19,50,71,81,72,75,59,74,21,4,55,visual
231,Stephen Santiago,29,72,88,97,50,88,71,109,115,1,65,kinesthetic
232,Shawn Greene,18,71,53,85,90,97,112,62,14,8,73,auditory
233,Dr. Kristin Hernandez,18,94,65,68,87,89,12,87,43,3,54,auditory
234,Jasmine White,29,95,92,76,79,71,44,46,69,1,62,visual
235,Thomas Burnett,27,54,67,85,93,93,113,78,57,1,90,visual
236,Micheal Bennett,23,87,65,56,57,80,79,58,101,6,97,visual
237,Laura Lopez,22,85,88,86,66,65,107,94,11,3,58,auditory
238,Joe Stewart PhD,25,92,70,77,98,71,92,89,68,5,82,visual
239,Christina Vang,19,96,66,55,76,73,43,25,78,9,85,kinesthetic
240,William Orozco,24,51,58,82,91,55,108,52,61,8,54,kinesthetic
241,Krystal Oconnor,28,66,97,63,68,58,57,111,20,9,61,visual
242,Jeremiah Hill,18,64,69,51,56,74,35,41,10,3,58,visual
243,Luis Ruiz,19,65,60,77,89,93,12,82,64,8,57,visual
244,Christopher Guzman,18,81,80,74,85,79,53,114,89,1,86,kinesthetic
245,Penny Hall,25,95,68,71,84,98,46,119,101,2,83,auditory
246,Kevin Stone,27,75,98,60,63,81,60,45,35,9,52,auditory
247,Dana Shaffer,25,80,99,77,87,81,35,82,108,8,75,auditory
248,Kevin Kelly,27,59,89,67,95,81,25,37,116,8,57,kinesthetic
249,Jacob Good,19,66,83,89,50,61,19,64,63,2,64,visual
250,Corey Morales,28,87,62,64,92,90,82,41,27,6,74,auditory
251,Daniel West,23,75,74,84,72,88,84,81,56,1,99,kinesthetic
252,George Reese,18,61,82,95,99,93,45,77,36,4,59,auditory
253,Tiffany Hart,25,99,79,72,61,75,32,107,12,4,67,visual
254,Steve Mcguire,21,83,93,81,59,69,29,54,79,2,86,auditory
255,Tammy Rivera,29,99,89,65,84,63,22,118,66,7,60,auditory
256,Anthony Allen,19,84,71,51,87,98,10,58,48,8,54,visual
257,Joseph Peterson,24,84,64,80,78,69,86,74,33,7,86,auditory
258,Stephanie Blair,21,53,78,58,96,59,81,44,107,9,83,kinesthetic
259,Timothy Chan,25,83,52,98,60,81,55,93,41,4,99,visual
260,Jasmine Hernandez,26,96,68,95,63,92,19,67,82,5,89,auditory
261,Raymond Hayes,29,97,62,67,71,50,73,95,35,6,95,auditory
262,Corey Guerra,18,76,69,87,88,55,19,78,39,4,57,auditory
263,Michael Hale Jr.,26,99,94,94,96,75,72,21,62,5,64,kinesthetic
264,Emily Walker DDS,26,93,63,73,63,81,65,81,85,9,61,visual
265,Deanna Anderson,27,97,93,82,81,54,84,43,69,8,62,kinesthetic
266,Chase Johnson,22,96,85,94,96,78,51,68,91,5,78,visual
267,Martha Reed,22,67,50,85,62,70,89,61,53,7,92,kinesthetic
268,Mary Herrera,26,66,95,51,62,91,69,47,41,1,59,kinesthetic
269,Lisa Blake,28,75,76,69,70,85,71,95,99,2,78,kinesthetic
270,Austin Davis,28,65,83,77,84,86,52,117,41,2,72,kinesthetic
271,Tyler Berger,23,70,53,53,59,50,39,25,79,4,79,visual
272,Timothy Johnson,20,65,50,71,75,70,28,89,74,5,53,visual
273,Wesley Young,28,71,59,60,58,65,21,96,107,4,99,kinesthetic
274,Amanda Patterson,21,67,90,59,67,89,79,50,105,3,55,auditory
275,Laura Holloway,23,95,70,74,82,61,17,84,49,7,93,visual
276,Michael Evans,28,89,65,89,72,82,117,16,118,6,69,visual
277,Kathryn Reyes,22,84,97,77,81,98,59,51,27,4,94,visual
278,Sabrina May,20,77,64,68,90,83,74,90,25,9,68,visual
279,Andrea Hicks,25,51,65,52,85,80,110,51,50,5,81,visual
280,Kristin Robinson,22,86,98,74,63,59,77,99,40,1,57,auditory
281,Jennifer Oneal,24,58,51,50,50,88,12,73,15,7,65,kinesthetic
282,Dustin Stafford,23,92,89,61,54,72,35,26,61,7,63,auditory
283,Joshua Smith,19,74,51,64,70,57,114,51,115,6,71,kinesthetic
284,Julie Smith,23,86,78,55,56,78,38,114,35,2,99,kinesthetic
285,Theresa Bass,23,79,64,79,63,67,33,115,40,3,74,visual
286,Bill Vang,28,70,52,84,63,79,110,80,97,3,80,kinesthetic
287,David Greene,19,90,85,79,84,52,103,44,87,3,59,visual
288,Ashley Cooper,27,85,78,52,55,74,29,82,55,9,92,visual
289,Tracy Navarro,23,84,96,74,58,89,35,95,98,6,99,visual
290,David Michael,21,99,57,56,72,80,84,23,58,8,69,visual
291,Richard Anderson,25,74,93,53,58,61,52,71,62,2,86,visual
292,Craig Austin,25,69,61,79,79,51,16,72,80,4,87,auditory
293,Craig Massey,22,96,88,74,61,97,47,43,88,4,98,kinesthetic
294,Jose Pennington,23,78,71,74,79,50,111,34,16,4,82,visual
295,Bryan Kennedy,22,61,99,91,65,91,108,66,67,1,78,auditory
296,Sarah Cardenas,27,54,73,74,77,64,87,91,105,5,68,auditory
297,Joel Woodward,20,94,75,74,92,81,116,72,42,7,94,visual
298,Lee Allison,21,88,72,58,83,74,114,71,22,3,90,kinesthetic
299,Kyle Smith,29,51,99,97,69,86,10,69,58,8,80,visual
300,Sarah Davis,28,89,66,76,57,61,18,31,10,7,54,auditory
301,James Duke,23,59,98,51,91,93,30,27,100,7,61,kinesthetic
302,Elizabeth Kelly,29,54,72,60,50,89,82,79,117,3,85,kinesthetic
303,Amanda Villa,18,60,58,53,60,92,100,26,110,1,75,auditory
304,Mark Robinson,19,53,51,78,70,81,27,48,88,8,63,kinesthetic
305,Elizabeth Jordan,19,56,65,71,80,64,55,105,39,5,68,kinesthetic
306,Ryan Maldonado,29,81,55,83,86,99,54,106,70,9,91,auditory
307,Benjamin Shields,20,63,77,61,96,74,34,21,43,6,60,auditory
308,Michael Perez,23,87,74,78,80,63,53,53,116,9,56,kinesthetic
309,Shane Bush,26,53,73,75,91,87,118,50,34,1,79,visual
310,Dr. Robin Simon,27,76,50,63,69,91,66,48,21,9,85,visual
311,Emily Foster,24,90,60,64,93,82,15,85,72,4,99,kinesthetic
312,Dr. Diane Valenzuela,18,76,74,73,82,91,118,87,102,2,84,auditory
313,Taylor Stokes,21,91,55,93,63,98,44,16,43,3,67,auditory
314,Laura Brown,18,69,85,86,99,91,38,117,90,7,91,auditory
315,Sarah Gilbert,18,70,81,57,88,73,65,116,23,9,50,visual
316,Amber Green,27,96,70,95,96,66,51,74,104,6,50,visual
317,Heidi Ramos,28,88,57,78,84,82,118,54,58,2,89,kinesthetic
318,Andrew Hill,19,58,74,80,72,93,33,92,117,9,75,visual
319,Laura Guzman,25,75,65,76,69,69,68,32,25,1,74,auditory
320,Frank Johnson,24,91,80,53,85,88,17,95,49,7,62,auditory
321,Sarah Alvarez,28,87,96,81,70,70,113,114,105,5,67,kinesthetic
322,Cathy Martin,25,53,76,56,53,54,73,69,45,8,66,auditory
323,Darlene Hall,24,87,87,99,74,79,110,110,92,5,52,auditory
324,Scott Payne,28,62,75,66,71,75,92,48,78,6,58,visual
325,Kathryn Carrillo,27,88,84,65,99,68,108,44,17,4,52,auditory
326,Colton Potts,18,56,50,94,63,74,88,10,84,4,93,visual
327,Mr. Jacob Barnes III,18,80,70,80,79,72,47,70,18,5,70,kinesthetic
328,Kristen Duncan,22,62,61,58,75,53,76,76,48,8,66,auditory
329,Alexis Graham,21,70,99,52,99,94,92,55,87,8,79,visual
330,Jasmine Jones,21,91,58,91,80,85,67,66,39,3,86,auditory
331,Dillon James,27,89,98,99,59,74,34,31,80,8,57,kinesthetic
332,Tiffany Davis,21,83,56,74,65,63,73,83,86,2,62,auditory
333,Jennifer Barajas,18,96,84,82,61,90,83,106,14,7,56,kinesthetic
334,Penny Mahoney,21,50,86,52,69,60,89,66,83,4,94,auditory
335,Jamie Wilson,27,55,73,89,59,97,63,110,76,4,59,auditory
336,Elizabeth Ford,27,54,91,70,81,70,107,11,37,4,88,auditory
337,Mark Wood,19,85,69,90,91,50,29,85,80,9,88,visual
338,Tammy Harvey,20,99,83,67,58,89,34,44,112,7,74,kinesthetic
339,John Cruz,29,52,86,52,85,98,53,118,101,6,83,auditory
340,Beverly Lopez,25,87,86,72,64,52,18,56,49,3,92,visual
341,Jennifer Nguyen,21,78,71,54,97,60,45,60,106,5,57,kinesthetic
342,Heather Williams,22,65,97,85,87,79,22,46,50,6,97,visual
343,Angela Oliver,18,70,60,77,54,71,68,38,53,2,93,auditory
344,Michael Krause,27,65,81,97,64,71,30,46,35,4,76,visual
345,Janet Fisher,24,99,92,63,62,92,55,111,36,8,68,visual
346,Jennifer Powers,28,89,69,58,83,83,54,42,72,5,89,visual
347,Brian Johnson,29,98,88,51,51,83,50,33,77,2,75,visual
348,Jeff Mitchell,22,76,94,86,91,71,60,43,68,3,70,visual
349,Alan Torres,18,81,78,54,80,79,118,99,90,2,77,kinesthetic
350,John Hull,29,50,82,85,83,80,83,59,37,1,57,auditory
351,Robert Henry,18,94,53,61,62,69,55,33,41,4,60,visual
352,John Gutierrez,29,83,85,63,60,93,93,73,66,3,79,kinesthetic
353,Vanessa Wilson,21,55,51,81,62,64,106,99,25,5,55,visual
354,Seth Williams,24,58,68,91,70,72,52,62,49,2,64,auditory
355,Kendra Chapman,18,92,82,86,57,75,65,48,43,2,83,auditory
356,Matthew Diaz,19,51,62,64,84,73,75,67,68,1,90,visual
357,Erica Marshall,28,91,61,52,89,50,84,59,21,2,80,kinesthetic
358,Carol Reeves,20,60,64,84,56,91,118,14,62,2,63,auditory
359,Amy Zamora,20,80,85,53,77,69,77,104,74,7,83,auditory
360,Kelsey Adams,20,76,92,87,53,69,47,40,73,7,71,kinesthetic
361,Cheryl Martinez,28,81,59,98,85,93,26,38,63,3,56,kinesthetic
362,Michael Melton,26,96,77,99,54,81,34,75,34,9,88,visual
363,Susan Sharp,27,96,58,68,58,96,36,47,94,8,86,kinesthetic
364,Carl Lucas,29,89,72,87,88,81,10,91,107,2,93,auditory
365,Mr. Wesley Allen,22,90,55,90,92,95,78,22,37,9,97,visual
366,Joshua Mcbride,29,54,57,81,77,51,32,118,85,1,57,visual
367,Tracey Campbell,20,74,73,72,73,69,30,101,88,6,51,auditory
368,Gregory Tucker,25,59,97,64,79,60,56,81,101,6,55,visual
369,Jeffrey Young,19,99,61,74,70,60,79,107,23,1,80,kinesthetic
370,Thomas Anthony DDS,26,84,70,60,75,88,90,30,74,6,54,auditory
371,April Berger,20,81,70,53,83,83,104,80,17,4,87,auditory
372,Isaac Martin,24,79,85,96,91,96,23,23,92,8,53,kinesthetic
373,Thomas Jones,19,90,52,95,56,58,17,63,17,4,67,kinesthetic
